name,city,type,specialty,rating,monthly_fee
Iron Paradise Gym,Bengaluru,Budget,Muscle Gain,4.2,1200
FitZone Premium,Bengaluru,Premium,Weight Loss,4.6,3500
CrossFit Core,Bengaluru,Boutique,CrossFit,4.5,4000
Yoga Vibes Studio,Bengaluru,Boutique,Yoga,4.7,2000
PowerHouse Fitness,Mumbai,Budget,General Fitness,4.0,1500
Elite Body Lab,Mumbai,Premium,Muscle Gain,4.8,5000
FlexFit Arena,Mumbai,Budget,Weight Loss,3.9,1300
Zenith CrossFit,Mumbai,Boutique,CrossFit,4.4,3800
Prime Fitness Club,Delhi,Premium,General Fitness,4.3,3000
Urban Yoga House,Delhi,Boutique,Yoga,4.6,1800
BuildBody Gym,Delhi,Budget,Muscle Gain,3.8,1100
LeanLife Studio,Delhi,Premium,Weight Loss,4.5,4200
Champion's Gym,Hyderabad,Budget,General Fitness,4.1,1000
Sculpt Fitness,Hyderabad,Premium,Muscle Gain,4.4,3200
CoreCraft CrossFit,Hyderabad,Boutique,CrossFit,4.3,3600
Pune FitHub,Pune,Budget,Weight Loss,4.0,1250
Peak Performance Gym,Pune,Premium,General Fitness,4.5,3400
Balance Yoga Center,Pune,Boutique,Yoga,4.8,1900
